Stock Name,Current Price,Previous Close,Open,Bid,Ask,Day's Range,52-Week Range,Volume,Avg. Volume
"Amazon.com, Inc. (AMZN)","2,422.88","2,410.39","2,384.33","2,418.27 x 900","2,419.35 x 1200","2,378.23 - 2,425.62","1,626.03 - 2,525.45","1,463,326","6,027,524"
Alphabet Inc. (GOOGL),"1,432.17","1,420.28","1,400.00","1,429.24 x 1100","1,429.88 x 1000","1,399.08 - 1,433.36","1,008.87 - 1,530.74","589,733","2,764,595"
Microsoft Corporation (MSFT),182.36,181.81,180.74,182.07 x 800,182.08 x 900,180.39 - 182.66,119.01 - 190.70,"12,059,419","53,342,561"
